chi_name,wind_name
南方航空,600029.SH
中国卫星,600118.SH
中国天楹,000035.SZ
中钨高新,000657.SZ
中国联通,600050.SH
中国武夷,000797.SZ
中国西电,601179.SH
中文传媒,600373.SH
正泰电器,601877.SH
捷荣技术,002855.SZ
深赤湾A,000022.SZ
栖霞建设,600533.SH
潮宏基,002345.SZ
海宁皮城,002344.SZ
重庆水务,601158.SH
正川股份,603976.SH
周大生,002867.SZ
长航凤凰,000520.SZ
渝三峡A,000565.SZ
神州高铁,000008.SZ
圣济堂,600227.SH
创力集团,603012.SH
创新股份,002812.SZ
川环科技,300547.SZ
中新科技,603996.SH
春兰股份,600854.SH
楚天高速,600035.SH
雏鹰农牧,002477.SZ
驰宏锌锗,600497.SH
中国中期,000996.SZ
剑桥科技,603083.SH
文投控股,600715.SH
中集集团,000039.SZ
信达地产,600657.SH
重庆钢铁,601005.SH
辰欣药业,603367.SH
钢研高纳,300034.SZ
成飞集成,002190.SZ
中信国安,000839.SZ
中信重工,601608.SH
中信证券,600030.SH
中葡股份,600084.SH
中国国旅,601888.SH
冠城大通,600067.SH
慈文传媒,002343.SZ
慈星股份,300307.SZ
ST昌九,600228.SH
重药控股,000950.SZ
精工钢构,600496.SH
长江传媒,600757.SH
长江润发,002435.SZ
中国巨石,600176.SH
长江证券,000783.SZ
开元股份,300338.SZ
科顺股份,300737.SZ
长缆科技,002879.SZ
清源股份,603628.SH
可立克,002782.SZ
*ST云网,002306.SZ
招商银行,600036.SH
民生银行,600016.SH
大东方,600327.SH
招商轮船,601872.SH
南华生物,000504.SZ
洛阳钼业,603993.SH
招商证券,600999.SH
招商蛇口,001979.SZ
中储股份,600787.SH
中信银行,601998.SH
中国化学,601117.SH
初灵信息,300250.SZ
中国核建,601611.SH
中国重汽,000951.SZ
雪莱特,002076.SZ
中核钛白,002145.SZ
中国核电,601985.SH
英联股份,002846.SZ
中油资本,000617.SZ
北方稀土,600111.SH
中南传媒,601098.SH
中水渔业,000798.SZ
中粮生化,000930.SZ
中粮地产,000031.SZ
中粮糖业,600737.SH
中信海直,000099.SZ
中船防务,600685.SH
科新机电,300092.SZ
高盟新材,300200.SZ
齐心集团,002301.SZ
中成股份,000151.SZ
康旗股份,300061.SZ
康恩贝,600572.SH
海螺型材,000619.SZ
康斯特,300445.SZ
海油工程,600583.SH
科泰电源,300153.SZ
湘邮科技,600476.SH
康普顿,603798.SH
科力远,600478.SH
中远海特,600428.SH
中远海控,601919.SH
中远海发,601866.SH
中远海科,002401.SZ
同洲电子,002052.SZ
中海油服,601808.SH
广宇集团,002133.SZ
广生堂,300436.SZ
科创新源,300731.SZ
中油工程,600339.SH
佩蒂股份,300673.SZ
中国太保,601601.SH
华映科技,000536.SZ
重庆燃气,600917.SH
重庆港九,600279.SH
重庆路桥,600106.SH
中国铁建,601186.SH
华润双鹤,600062.SH
中再资环,600217.SH
创源文化,300703.SZ
北京科锐,002350.SZ
科创信息,300730.SZ
中交地产,000736.SZ
中房股份,600890.SH
中铁工业,600528.SH
中国中车,601766.SH
华润三九,000999.SZ
铁龙物流,600125.SH
川润股份,002272.SZ
中顺洁柔,002511.SZ
ST中安,600654.SH
ST长生,002680.SZ
长盛轴承,300718.SZ
中国建筑,601668.SH
中持股份,603903.SH
中远海能,600026.SH
南玻A,000012.SZ
科大智能,300222.SZ
中体产业,600158.SH
中国重工,601989.SH
中国动力,600482.SH
科蓝软件,300663.SZ
深冷股份,300540.SZ
中国科传,601858.SH
中船科技,600072.SH
*ST船舶,600150.SH
常山北明,000158.SZ
国检集团,603060.SH
千方科技,002373.SZ
华测检测,300012.SZ
盛屯矿业,600711.SH
诚益通,300430.SZ
康拓红外,300455.SZ
创元科技,000551.SZ
华贸物流,603128.SH
中视传媒,600088.SH
天科股份,600378.SH
萃华珠宝,002731.SZ
国旅联合,600358.SH
视源股份,002841.SZ
华西能源,002630.SZ
中国国贸,600007.SH
春兴精工,002547.SZ
澄星股份,600078.SH
川仪股份,603100.SH
长园集团,600525.SH
先达股份,603086.SH
长江电力,600900.SH
仟源医药,300254.SZ
中青旅,600138.SH
沧州大化,600230.SH
意华股份,002897.SZ
腾龙股份,603158.SH
东安动力,600178.SH
迪安诊断,300244.SZ
大东海A,000613.SZ
达刚路机,300103.SZ
大豪科技,603025.SH
大华股份,002236.SZ
岱美股份,603730.SH
大金重工,002487.SZ
达安基因,002030.SZ
大连电瓷,002606.SZ
大连港,601880.SH
大理药业,603963.SH
大立科技,002214.SZ
丹邦科技,002618.SZ
道道全,002852.SZ
道明光学,002632.SZ
大千生态,603955.SH
大秦铁路,601006.SH
德尔股份,300473.SZ
大亚圣象,000910.SZ
创业黑马,300688.SZ
达实智能,002421.SZ
大晟文化,600892.SH
大唐发电,601991.SH
*ST大唐,600198.SH
戴维医疗,300314.SZ
道恩股份,002838.SZ
大烨智能,300670.SZ
大冶特钢,000708.SZ
大有能源,600403.SH
大元泵业,603757.SH
大禹节水,300021.SZ
达志科技,300530.SZ
地素时尚,603587.SH
东宝生物,300239.SZ
光弘科技,300735.SZ
大北农,002385.SZ
迪生力,603335.SH
华谊集团,600623.SH
当代明诚,600136.SH
*ST德奥,002260.SZ
东方电气,600875.SH
东阿阿胶,000423.SZ
兔宝宝,002043.SZ
德力股份,002571.SZ
德联集团,002666.SZ
得利斯,002330.SZ
华丽家族,600503.SH
登海种业,002041.SZ
登云股份,002715.SZ
德邦股份,603056.SH
德尔未来,002631.SZ
得润电子,002055.SZ
德赛电池,000049.SZ
德赛西威,002920.SZ
东风科技,600081.SH
迪森股份,300335.SZ
德威新材,300325.SZ
德新交运,603032.SH
德展健康,000813.SZ
东风汽车,600006.SH
多氟多,002407.SZ
东方电热,300217.SZ
大连友谊,000679.SZ
东方环宇,603706.SH
东方精工,002611.SZ
东风股份,601515.SH
东方时尚,603377.SH
大丰实业,603081.SH
东方园林,002310.SZ
东华软件,002065.SZ
丹化科技,600844.SH
东华能源,002221.SZ
华银电力,600744.SH
大湖股份,600257.SH
大连重工,002204.SZ
东华科技,002140.SZ
大恒科技,600288.SH
岱勒新材,300700.SZ
电光科技,002730.SZ
三超新材,300554.SZ
迪贝电气,603320.SH
大康农业,002505.SZ
神州数码,000034.SZ
鼎捷软件,300378.SZ
帝龙文化,002247.SZ
迪马股份,600565.SH
鼎汉技术,300011.SZ
世纪鼎利,300050.SZ
鼎龙股份,300054.SZ
顺丰控股,002352.SZ
迪瑞医疗,300396.SZ
东江环保,002672.SZ
ST大控,600747.SH
大龙地产,600159.SH
万邦德,002082.SZ
横店东磁,002056.SZ
印纪传媒,002143.SZ
博士眼镜,300622.SZ
多喜爱,002761.SZ
东诚药业,002675.SZ
东方电子,000682.SZ
东莞控股,000828.SZ
东宏股份,603856.SH
东华测试,300354.SZ
东兴证券,601198.SH
东旭光电,000413.SZ
东珠生态,603359.SH
*ST东凌,000893.SZ
宁波东力,002164.SZ
多伦科技,603528.SH
双箭股份,002381.SZ
双象股份,002395.SZ
大博医疗,002901.SZ
青岛双星,000599.SZ
达威股份,300535.SZ
道氏技术,300409.SZ
